oa_code_2021,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
S00135307,2,3,15,9,4,1,9,14,8,8,10,16,10,10,17,8,5,1,0,0,0
S00135308,6,2,3,3,0,0,6,10,4,1,9,12,6,3,0,3,3,1,0,0,0
S00135309,2,0,7,3,12,4,11,9,5,8,15,16,22,18,6,13,2,4,1,0,0
S00135310,4,8,2,12,18,8,8,13,9,11,16,11,3,6,8,7,3,2,0,0,0
S00135311,12,13,12,5,7,12,16,9,15,19,8,9,12,7,3,2,2,0,0,0,0
S00135312,16,21,19,13,11,5,15,13,25,18,9,6,7,4,3,2,1,0,0,0,0
S00135313,6,6,13,12,9,12,2,10,4,7,17,9,6,13,21,17,16,6,5,1,0
S00135314,4,15,15,9,11,4,19,5,17,24,20,10,9,3,3,2,0,0,0,0,0
S00135315,9,6,5,5,5,10,12,7,9,4,5,8,6,7,6,11,4,1,1,0,0
S00135316,5,4,10,4,4,3,12,7,6,11,12,7,8,3,9,5,12,8,1,1,0
S00135317,5,4,11,8,7,9,9,11,9,10,20,9,4,8,15,9,8,0,2,0,1
S00135318,3,5,6,7,3,2,7,9,12,1,7,3,8,6,7,1,0,1,0,0,0
S00135319,9,8,6,5,4,7,5,11,7,4,6,11,2,2,14,8,11,6,2,1,0
S00135320,11,3,8,4,1,6,8,12,8,4,8,16,8,9,9,4,3,0,0,0,0
S00135321,5,6,2,5,4,3,7,4,7,8,5,3,3,10,10,4,1,0,0,0,0
S00135322,1,13,17,5,4,11,4,9,18,4,12,10,15,15,9,4,1,2,1,0,0
S00135323,1,1,7,4,5,4,8,7,12,7,8,6,10,11,15,10,7,2,0,0,0
S00135324,3,0,3,6,5,6,3,2,3,1,9,4,2,5,8,5,1,0,0,0,0
S00135325,4,4,4,7,4,4,2,6,4,6,4,12,3,5,5,0,3,0,0,0,0
S00135326,0,5,6,2,0,1,10,4,7,3,3,8,5,10,8,7,8,6,1,0,0
S00135327,1,16,5,6,8,1,3,9,7,6,6,7,3,6,6,6,5,2,0,0,0
S00135328,1,4,7,5,3,7,10,8,4,5,5,9,13,15,11,13,2,0,2,0,0
S00135329,5,10,9,3,2,8,6,14,10,8,8,11,5,12,12,2,4,0,1,0,0
S00135330,1,5,3,5,5,3,16,6,5,3,7,12,8,8,10,2,5,1,0,0,0
S00135331,2,0,7,2,1,4,4,1,5,6,3,3,2,2,6,9,4,2,0,0,0
S00135332,2,4,7,1,6,5,2,7,9,5,4,10,12,4,2,5,6,0,0,0,0
S00135333,9,5,8,7,5,5,9,10,12,3,3,5,6,4,4,3,3,0,0,0,0
S00135334,4,8,4,0,3,7,2,5,5,4,1,3,4,9,8,4,1,1,0,0,0
S00135335,4,10,11,11,5,7,6,5,13,9,14,11,6,6,2,4,2,1,0,0,0
S00135336,5,7,4,3,8,3,8,3,5,4,7,6,3,2,0,2,2,1,1,0,0
S00135337,4,4,1,7,5,3,4,10,8,6,14,12,16,14,20,11,3,5,0,0,0
S00135338,8,4,3,3,7,9,14,7,7,4,5,4,10,18,10,10,5,7,2,0,0
S00135339,10,9,16,3,5,8,8,10,9,1,8,9,8,4,9,8,9,6,3,1,0
S00135340,8,17,6,11,4,5,2,3,10,9,7,8,6,8,11,8,12,0,0,0,0
S00135341,11,9,6,2,1,4,14,4,1,3,4,4,7,6,3,6,10,6,0,0,0
S00135342,4,1,3,3,4,3,10,3,1,5,8,12,3,11,7,1,8,0,1,0,0
S00135343,17,17,9,4,11,20,21,20,14,9,16,3,2,2,4,0,0,0,0,0,0
S00135344,2,2,7,12,5,3,5,8,5,10,8,10,11,13,6,4,1,3,3,0,0
S00135345,12,7,12,9,13,15,19,9,11,16,21,18,8,4,3,2,0,0,0,0,0
S00135346,4,5,6,6,2,2,6,5,9,4,3,10,6,13,10,23,9,6,3,0,0
S00135347,9,6,6,4,1,8,10,12,7,4,5,4,8,4,4,1,0,0,0,0,0
S00135348,1,8,10,5,9,5,4,5,3,7,13,9,6,9,5,18,6,6,1,0,0
S00135349,0,3,13,7,4,10,7,7,10,15,13,4,8,8,4,14,3,1,0,0,0
S00135350,15,7,7,9,6,16,25,14,5,8,6,9,2,0,1,0,0,0,0,0,0
S00135351,25,21,22,3,5,15,29,32,28,22,8,3,2,1,2,0,0,0,0,0,0
S00135352,4,6,9,5,5,9,7,10,9,12,17,10,4,4,23,15,6,1,3,1,0
S00135353,18,30,15,6,6,14,27,38,27,12,8,4,4,0,5,0,0,0,0,0,0
S00135354,6,12,8,2,4,6,18,19,12,2,1,3,1,0,0,0,0,0,0,0,0
S00135355,14,13,6,0,4,11,23,22,8,5,2,4,5,1,0,0,0,0,0,0,0
S00135356,7,5,2,0,9,12,14,11,7,13,12,9,9,2,4,1,1,0,1,0,0
S00135357,16,21,16,24,5,15,14,25,29,25,16,7,7,6,1,0,0,0,0,0,0
S00135358,8,10,2,1,9,27,20,14,13,7,6,8,9,1,2,1,0,0,0,0,0
S00135359,3,4,3,6,6,4,4,4,6,7,7,11,9,7,16,16,5,0,1,0,0
S00135360,3,0,2,1,5,16,8,10,7,11,14,16,5,3,13,12,4,1,0,0,0
S00135361,8,7,7,3,2,1,5,8,3,9,6,5,5,7,17,13,6,4,0,0,0
S00135362,7,5,7,2,3,5,5,8,7,7,11,8,10,4,5,20,10,6,1,0,0
S00135363,27,23,7,10,1,12,29,30,19,8,3,1,2,1,0,0,2,0,0,0,0
S00135364,3,2,7,9,5,4,7,7,10,5,8,9,22,17,19,14,9,4,1,1,0
S00135365,3,7,7,6,7,2,4,4,8,8,5,12,8,9,9,15,6,1,2,0,0
S00135366,0,6,4,6,3,1,13,2,6,10,8,7,15,13,9,12,2,1,2,0,0
S00135367,1,3,4,4,2,3,5,2,5,8,1,10,7,8,6,4,3,0,1,0,0
S00135368,11,11,7,7,8,13,12,10,10,10,5,11,12,5,2,1,0,0,0,0,0
S00135369,1,7,12,12,4,11,7,10,11,12,12,8,6,3,3,0,2,0,0,0,0
S00135370,3,4,3,1,2,3,4,1,4,4,13,5,11,5,1,3,2,0,0,0,0
S00135371,9,8,7,6,10,11,18,14,8,9,17,13,10,10,4,0,0,0,0,0,0
S00135372,15,20,11,7,4,16,10,15,16,13,17,6,0,1,0,1,0,1,0,0,0
S00135373,12,15,5,11,15,10,15,22,21,13,16,30,17,17,12,7,0,1,0,0,0
S00135374,10,11,4,4,6,13,16,17,3,14,13,5,7,5,4,9,1,1,0,0,0
S00135375,7,8,4,1,3,7,23,11,12,5,7,8,1,0,2,0,0,0,0,0,0
S00135376,7,6,6,8,4,2,2,4,1,6,3,2,2,5,3,3,6,3,0,0,0
S00135377,6,6,3,5,6,12,11,3,6,7,12,10,10,8,6,1,0,0,0,0,0
S00135378,9,15,16,11,3,4,5,11,18,12,7,6,3,2,3,2,1,1,0,0,0
S00135379,3,4,0,3,2,4,0,5,2,4,4,8,5,3,2,5,3,2,0,0,0
S00135380,5,2,7,7,8,11,6,7,3,13,15,14,17,4,9,3,2,1,0,0,0
S00135381,7,8,13,3,17,14,12,11,10,12,12,7,5,3,0,2,0,0,0,0,0
S00135382,2,6,5,11,6,5,5,13,10,11,5,1,3,8,2,1,1,0,0,0,0
S00135383,15,16,14,8,5,10,11,26,20,11,11,13,2,1,1,0,0,0,0,0,0
S00135384,4,5,1,2,7,4,7,1,4,8,9,2,6,0,0,0,0,0,0,0,0
S00135385,12,14,3,7,4,2,14,21,3,3,4,3,1,0,0,0,0,0,0,0,0
S00135386,1,6,1,1,3,6,1,1,10,4,6,12,8,16,7,6,5,9,5,2,2
S00135387,7,7,7,6,6,6,9,5,4,3,9,23,25,13,21,14,4,0,0,0,0
S00135388,13,18,19,10,6,2,5,25,25,13,18,7,12,11,7,4,1,3,2,0,0
S00135389,2,3,7,14,3,3,3,2,7,14,12,3,12,23,17,10,5,0,0,0,0
S00135390,5,7,6,0,12,4,6,9,10,10,9,2,5,6,2,0,0,0,0,0,0
S00135391,11,14,14,12,9,10,21,15,20,14,20,18,12,7,3,0,0,0,0,0,0
S00135392,3,5,3,2,10,9,6,7,7,6,2,6,5,1,2,0,2,0,0,0,0
S00135393,24,17,4,23,29,22,30,11,12,12,11,9,1,3,1,2,0,0,0,0,0
S00135394,8,6,6,7,5,10,10,10,13,5,13,17,15,10,11,4,3,1,0,0,0
S00135395,5,5,5,2,3,2,5,7,4,3,4,9,10,7,4,1,0,0,0,0,0
S00135396,6,6,10,3,6,4,12,13,7,9,7,7,19,9,8,9,2,3,2,0,0
S00135397,13,10,11,3,4,5,16,20,19,2,4,8,4,1,0,0,0,0,4,0,0
S00135398,10,5,5,8,10,8,16,8,7,11,13,7,5,11,5,2,2,0,0,0,0
S00135399,10,7,12,4,3,15,14,15,15,9,3,4,0,7,11,20,22,35,24,8,0
S00135400,8,6,7,3,11,3,9,12,11,11,25,15,9,14,5,9,0,0,0,0,0
S00135401,9,1,1,2,7,5,11,5,6,9,7,7,20,6,7,2,0,0,0,0,0
S00135402,4,4,5,1,4,2,10,8,7,6,6,10,6,3,3,1,5,0,0,0,0
S00135403,5,10,8,4,7,6,10,15,7,4,13,6,9,8,2,6,4,0,0,0,0
S00135404,6,3,6,1,6,11,10,6,6,6,3,4,8,2,3,1,1,3,0,0,0
S00135405,13,15,15,7,7,7,13,8,22,7,13,12,17,13,13,11,3,0,0,0,0
S00135406,3,6,3,4,5,9,7,11,8,0,11,27,28,14,10,10,2,1,0,0,0
S00135407,2,8,15,8,3,8,2,6,15,17,16,8,7,10,11,5,2,0,0,0,0
S00135408,4,5,10,3,6,8,4,10,7,9,4,13,11,13,8,7,9,8,2,0,0
S00135409,5,4,0,0,1,3,2,10,1,0,2,7,9,9,8,3,4,1,0,0,0
S00135410,4,1,5,3,5,7,12,11,10,7,10,11,8,11,5,0,1,0,0,0,0
S00135411,6,6,6,2,22,28,16,24,7,14,8,15,13,10,5,3,0,0,0,0,0
S00135412,3,9,7,8,4,2,3,5,9,1,5,1,10,20,12,9,0,0,0,0,0
S00135413,7,6,2,10,5,9,5,8,3,4,4,11,17,21,17,6,3,3,0,0,0
S00135414,0,0,2,7,3,6,3,4,2,2,6,10,10,13,12,8,5,0,0,0,0
S00135415,4,7,5,8,4,7,6,2,8,8,8,7,13,7,5,4,0,0,0,0,0
S00135416,6,10,18,13,8,11,12,16,19,12,10,15,13,23,13,3,5,2,0,0,0
S00135417,5,4,1,2,4,14,6,8,7,4,13,16,10,4,1,1,0,0,0,0,0
