oa_code_2021,white_total,asian_asian_scottish_or_asian_british_total,african_total,caribbean_or_black_total,other_ethnic_groups_total
S00135307,137,0,0,0,1
S00135308,63,2,0,0,0
S00135309,142,12,0,0,0
S00135310,146,2,3,0,6
S00135311,134,6,6,1,0
S00135312,165,14,2,0,1
S00135313,180,0,0,0,0
S00135314,169,3,0,0,0
S00135315,101,7,0,0,2
S00135316,113,11,4,0,0
S00135317,143,8,0,0,2
S00135318,80,1,0,0,1
S00135319,128,6,0,0,2
S00135320,125,4,0,0,0
S00135321,84,0,0,0,0
S00135322,147,4,0,0,1
S00135323,110,2,0,0,0
S00135324,60,0,0,0,1
S00135325,69,5,1,0,0
S00135326,73,10,0,0,0
S00135327,91,4,0,0,0
S00135328,104,11,0,2,0
S00135329,109,6,5,0,0
S00135330,105,0,0,0,0
S00135331,66,0,0,0,0
S00135332,92,1,0,0,0
S00135333,93,6,0,0,2
S00135334,69,6,2,0,0
S00135335,115,3,1,0,0
S00135336,74,0,0,0,4
S00135337,140,0,0,0,0
S00135338,142,1,0,0,0
S00135339,143,0,0,0,0
S00135340,124,4,1,1,0
S00135341,87,1,0,0,3
S00135342,80,6,0,0,4
S00135343,155,3,11,0,0
S00135344,106,6,0,0,0
S00135345,161,6,0,0,1
S00135346,135,0,0,0,0
S00135347,86,5,0,0,0
S00135348,125,0,4,0,0
S00135349,118,9,0,0,0
S00135350,115,6,8,0,0
S00135351,200,11,11,0,0
S00135352,156,1,0,0,0
S00135353,178,16,0,4,4
S00135354,89,8,1,0,1
S00135355,111,8,7,0,0
S00135356,118,5,0,0,1
S00135357,185,22,10,0,9
S00135358,104,15,10,0,4
S00135359,113,0,8,0,0
S00135360,115,0,5,0,0
S00135361,113,2,0,0,0
S00135362,128,2,0,0,2
S00135363,125,19,16,0,8
S00135364,153,12,0,0,0
S00135365,108,4,0,0,5
S00135366,111,1,0,0,1
S00135367,81,0,2,0,0
S00135368,114,8,12,0,0
S00135369,116,11,0,0,0
S00135370,67,0,2,0,0
S00135371,147,5,0,0,0
S00135372,139,13,0,0,0
S00135373,210,13,0,0,0
S00135374,133,4,2,1,0
S00135375,91,4,0,0,0
S00135376,68,5,2,0,0
S00135377,112,4,0,0,1
S00135378,106,12,4,4,4
S00135379,56,1,1,0,0
S00135380,125,6,0,0,0
S00135381,115,9,5,2,0
S00135382,93,7,0,0,1
S00135383,75,37,35,0,6
S00135384,56,5,0,0,0
S00135385,78,2,1,5,0
S00135386,111,1,0,1,0
S00135387,169,0,4,0,0
S00135388,167,9,13,0,5
S00135389,116,6,4,0,1
S00135390,80,8,1,0,0
S00135391,173,22,5,0,1
S00135392,70,0,0,0,0
S00135393,193,5,6,0,0
S00135394,140,5,4,0,3
S00135395,67,2,6,0,3
S00135396,127,2,1,0,0
S00135397,101,10,8,0,0
S00135398,93,19,8,0,0
S00135399,197,28,19,0,0
S00135400,159,1,1,0,0
S00135401,91,3,5,0,0
S00135402,78,2,0,0,0
S00135403,115,17,0,0,0
S00135404,77,9,0,0,0
S00135405,165,11,7,0,1
S00135406,160,7,0,0,1
S00135407,136,9,5,0,2
S00135408,146,1,9,0,0
S00135409,65,5,0,0,0
S00135410,95,16,0,0,0
S00135411,167,0,12,0,1
S00135412,108,3,0,0,0
S00135413,130,4,2,0,0
S00135414,81,5,0,0,0
S00135415,83,4,7,2,8
S00135416,176,12,6,0,6
S00135417,102,0,0,0,0
S00135418,169,3,0,0,3
S00135419,73,1,0,0,1
S00135420,133,5,4,0,4
S00135421,111,6,0,0,0
S00135422,102,6,0,0,0
S00135423,159,14,15,0,0
S00135424,115,0,0,0,0
S00135425,108,5,0,2,1
S00135426,131,5,0,0,0
S00135427,117,6,3,0,0
S00135428,74,3,0,0,0
S00135429,75,5,4,0,0
S00135430,90,22,0,0,1
S00135431,91,15,0,0,0
S00135432,109,8,0,0,1
S00135433,114,7,3,0,4
S00135434,103,5,0,0,0
S00135435,77,0,0,0,0
S00135436,108,2,0,0,0
S00135437,110,5,0,3,3
S00135438,60,13,0,0,4
S00135439,82,4,5,0,0
S00135440,124,6,1,0,0
