oa_code_2021,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,pagan,other_religion,no_religion,religion_not_stated
S00135307,41,2,2,0,0,0,0,0,0,0,82,17
S00135308,16,0,3,0,0,0,0,0,1,0,44,1
S00135309,32,5,11,0,3,0,6,0,0,1,87,11
S00135310,48,4,8,0,0,0,8,0,0,0,84,1
S00135311,28,10,7,0,2,0,0,0,0,0,88,15
S00135312,30,4,1,0,0,0,7,0,1,0,137,9
S00135313,61,1,9,0,0,0,0,0,0,0,95,16
S00135314,28,7,8,0,0,0,0,0,0,0,119,5
S00135315,13,11,5,0,0,0,1,0,0,0,74,6
S00135316,33,7,5,1,4,0,0,0,0,1,72,7
S00135317,51,15,5,0,4,0,4,0,0,1,74,4
S00135318,12,6,3,0,0,0,0,0,0,0,52,8
S00135319,31,7,4,0,1,0,0,0,0,1,89,7
S00135320,19,4,3,0,0,0,0,0,1,0,92,5
S00135321,11,4,0,1,0,0,0,0,0,1,65,3
S00135322,30,24,4,0,0,0,0,0,1,0,90,2
S00135323,43,1,5,0,0,0,0,0,0,2,56,6
S00135324,10,10,0,0,0,0,0,0,0,0,33,8
S00135325,13,4,2,1,4,0,0,0,0,0,49,6
S00135326,19,3,4,0,0,0,10,0,0,0,41,1
S00135327,31,5,2,0,0,0,0,0,0,0,54,6
S00135328,26,8,2,0,0,0,2,0,1,0,62,11
S00135329,22,5,3,0,5,0,0,0,4,0,77,4
S00135330,29,7,4,0,0,0,0,0,0,0,59,6
S00135331,16,3,0,0,0,0,0,0,0,0,46,0
S00135332,29,1,1,0,0,0,0,0,0,1,51,9
S00135333,11,12,5,0,0,0,9,0,0,0,59,6
S00135334,19,6,2,0,4,0,0,0,0,0,47,1
S00135335,17,11,9,0,0,0,0,0,0,0,86,1
S00135336,9,1,12,0,0,0,4,0,0,0,49,3
S00135337,31,8,6,0,0,0,3,0,0,0,92,2
S00135338,39,6,3,0,1,0,0,0,0,0,87,7
S00135339,35,18,4,1,0,0,0,0,0,0,81,1
S00135340,37,8,7,0,0,1,0,3,0,0,63,9
S00135341,28,6,0,0,0,0,1,0,0,0,47,14
S00135342,25,7,2,6,0,0,0,0,0,0,44,5
S00135343,15,0,14,0,3,0,0,0,0,0,123,13
S00135344,35,0,5,1,0,0,6,0,0,0,64,6
S00135345,13,11,11,0,1,0,0,0,0,0,122,10
S00135346,64,3,5,0,0,0,0,0,0,0,64,2
S00135347,7,0,2,0,0,0,5,0,0,0,74,0
S00135348,49,3,2,0,0,0,4,0,0,4,60,12
S00135349,35,4,2,0,0,0,4,0,0,0,86,2
S00135350,3,9,7,0,4,0,0,0,0,2,99,6
S00135351,22,5,18,0,3,0,8,0,0,0,155,13
S00135352,45,13,8,0,0,0,0,0,0,0,84,12
S00135353,35,10,22,3,7,0,4,0,0,0,118,11
S00135354,6,9,0,1,0,0,2,0,0,0,81,3
S00135355,15,5,8,0,8,0,0,0,0,0,84,0
S00135356,12,7,3,1,0,0,6,0,0,0,96,1
S00135357,24,28,3,0,4,0,14,0,0,0,152,5
S00135358,7,10,18,0,5,0,3,0,2,3,82,2
S00135359,51,7,5,0,0,0,0,0,0,0,52,7
S00135360,28,5,12,0,0,0,0,0,0,0,71,9
S00135361,32,2,5,0,0,0,0,0,0,0,70,8
S00135362,44,4,7,0,0,0,2,0,0,0,71,6
S00135363,7,10,14,0,0,0,30,0,0,0,102,11
S00135364,70,6,5,1,8,0,1,0,0,0,70,3
S00135365,46,5,8,0,4,0,5,0,0,0,47,4
S00135366,22,5,13,0,0,0,0,0,0,0,63,9
S00135367,34,1,2,0,0,0,0,0,0,0,38,7
S00135368,18,4,12,0,0,0,6,0,0,1,88,2
S00135369,9,5,7,0,0,0,10,1,0,0,87,8
S00135370,9,1,2,0,0,0,0,0,2,0,49,7
S00135371,23,0,7,4,0,0,0,0,1,0,109,1
S00135372,7,6,13,0,3,0,0,0,1,2,108,12
S00135373,44,8,5,1,0,0,5,0,0,0,155,10
S00135374,21,9,8,0,0,0,4,0,0,0,99,3
S00135375,12,18,0,0,0,0,0,0,0,0,67,0
S00135376,14,4,2,0,0,0,5,0,0,0,48,4
S00135377,13,8,12,0,0,0,1,0,0,0,77,11
S00135378,20,12,6,0,0,0,4,0,0,0,77,9
S00135379,17,2,7,0,0,0,1,0,0,1,22,10
S00135380,30,5,6,0,0,0,0,0,0,0,76,8
S00135381,9,24,8,0,0,0,1,0,0,0,85,7
S00135382,17,0,3,0,0,0,7,0,0,0,68,2
S00135383,23,8,26,2,11,0,23,0,0,1,51,11
S00135384,8,0,1,0,0,0,0,0,0,0,49,3
S00135385,5,6,2,0,0,0,0,0,1,0,65,10
S00135386,23,8,2,0,0,0,0,0,0,0,72,5
S00135387,46,3,13,0,0,0,0,0,0,0,99,10
S00135388,28,25,10,0,0,0,13,0,0,0,118,5
S00135389,40,5,15,0,0,0,0,0,0,0,72,5
S00135390,12,2,1,3,0,0,5,0,0,0,66,0
S00135391,25,7,6,1,3,0,8,0,0,0,131,16
S00135392,12,4,1,0,0,0,0,0,0,0,48,1
S00135393,6,14,12,0,0,0,3,0,1,0,159,12
S00135394,32,9,6,1,0,0,4,0,0,0,95,5
S00135395,21,0,0,0,0,0,10,0,1,0,39,7
S00135396,30,6,4,0,0,0,0,0,0,0,95,2
S00135397,9,2,12,3,0,0,8,0,0,1,91,2
S00135398,9,4,6,0,0,0,4,0,0,0,98,1
S00135399,54,3,13,0,7,0,28,0,1,0,120,24
S00135400,38,10,3,0,0,0,1,0,1,0,106,2
S00135401,18,2,6,0,0,0,3,0,0,0,63,4
S00135402,20,1,5,0,0,0,0,0,0,0,46,8
S00135403,15,3,7,6,4,0,0,0,2,0,81,11
S00135404,5,4,1,1,0,0,0,0,0,0,72,1
S00135405,32,0,18,0,0,0,11,0,0,0,117,11
S00135406,49,2,1,2,0,0,2,0,0,0,106,8
S00135407,32,3,17,0,0,0,0,0,1,1,93,6
S00135408,32,3,19,0,0,0,0,0,0,0,90,8
S00135409,18,0,4,0,0,0,4,0,1,0,41,4
S00135410,21,7,10,0,9,0,0,0,0,0,58,6
S00135411,25,2,19,0,0,1,0,0,2,1,124,5
S00135412,24,1,3,0,0,0,0,0,0,0,78,6
S00135413,28,8,10,0,0,0,1,0,0,0,77,13
S00135414,23,7,5,0,3,0,0,0,0,0,47,6
S00135415,24,6,2,0,4,0,0,0,0,0,58,6
S00135416,32,10,17,0,0,0,10,0,0,0,111,17
S00135417,20,4,1,0,0,0,0,0,0,0,73,9
S00135418,17,14,3,0,0,0,0,0,1,2,128,13
S00135419,15,4,5,0,0,0,0,0,0,0,52,3
S00135420,27,16,10,0,1,0,4,1,0,0,80,9
S00135421,25,3,7,0,0,0,0,0,0,0,83,2
S00135422,13,6,7,0,0,0,4,0,0,0,69,10
S00135423,43,15,11,0,2,0,10,0,0,0,87,26
S00135424,33,7,0,0,0,0,0,0,0,0,62,13
S00135425,35,5,1,0,3,0,1,0,2,0,64,3
S00135426,21,7,7,0,0,0,0,0,0,3,99,6
S00135427,47,1,7,0,0,0,9,0,0,0,58,4
S00135428,17,0,0,0,0,0,3,0,0,1,50,2
S00135429,15,5,9,0,0,0,5,0,0,0,44,6
S00135430,17,5,4,0,4,0,0,0,0,0,70,12
S00135431,9,7,4,0,7,0,5,0,1,0,60,16
S00135432,39,7,4,0,3,0,5,0,0,4,51,6
S00135433,35,1,12,2,0,0,4,0,0,0,67,9
S00135434,35,5,2,1,0,0,4,0,0,0,56,5
S00135435,33,0,0,0,0,0,0,0,0,0,39,4
S00135436,38,4,11,0,0,0,0,0,0,1,52,6
S00135437,23,13,6,1,0,0,5,0,3,0,76,1
S00135438,12,9,0,0,0,0,15,0,0,1,42,3
S00135439,36,4,10,0,0,0,7,0,2,0,28,6
S00135440,34,7,9,0,0,0,5,0,0,0,70,4
S00135441,23,4,4,1,0,0,11,0,0,0,83,1
S00135442,23,0,5,0,0,0,1,1,0,0,34,3
S00135443,19,8,11,2,4,0,0,0,0,0,45,7
S00135444,17,0,8,3,7,0,4,0,0,0,61,0
S00135445,28,1,15,0,0,0,5,0,0,0,85,7
S00135446,43,4,1,0,0,0,5,0,0,0,100,2
S00135447,18,5,1,0,0,0,4,0,1,1,99,8
S00135448,17,8,15,0,4,0,1,0,0,0,121,0
S00135449,44,2,2,0,0,0,0,0,2,2,44,2
S00135450,40,2,3,0,0,0,0,0,0,0,48,3
S00135451,24,5,2,0,0,0,4,0,0,0,34,2
S00135452,17,1,4,0,0,0,0,0,0,0,41,2
S00135453,20,10,2,0,0,0,6,0,0,0,68,4
S00135454,8,6,6,0,0,0,1,0,0,0,83,18
S00135455,20,10,3,1,0,0,6,0,0,0,65,1
S00135456,14,10,4,1,0,0,0,0,0,0,55,4
S00135457,19,3,1,0,0,0,0,0,0,0,40,3
S00135458,12,3,1,0,0,0,0,0,2,0,55,7
S00135459,32,5,3,0,3,0,0,0,0,0,69,5
S00135460,21,10,6,0,0,0,5,0,0,1,72,6
S00135461,21,16,11,0,0,0,0,0,0,1,86,2
S00135462,31,4,5,0,0,1,0,0,0,1,108,11
S00135463,28,10,0,0,0,0,10,0,0,0,94,6
S00135464,22,0,3,0,3,0,6,0,0,0,63,9
S00135465,33,4,0,0,0,0,0,0,4,0,60,7
S00135466,22,7,0,0,0,0,0,0,0,0,61,11
S00135467,18,1,6,0,0,0,0,0,0,1,65,4
S00135468,1,0,8,0,0,0,0,0,0,1,52,5
S00135469,43,6,5,0,0,0,0,0,0,0,61,4
S00135470,36,1,2,2,0,1,3,0,0,0,86,7
S00135471,17,7,9,0,0,0,0,0,0,0,115,5
S00135472,29,1,7,0,7,0,5,0,0,0,93,2
S00135473,22,7,3,0,4,0,1,0,0,0,92,5
S00135474,23,9,4,0,7,0,1,0,0,0,71,4
S00135475,22,4,14,0,0,0,0,0,0,2,60,0
S00135476,36,3,4,0,3,0,0,0,0,0,53,10
S00135477,11,12,9,0,3,0,1,0,0,0,83,2
S00135478,32,1,2,0,0,0,5,0,0,0,55,3
S00135479,30,6,2,0,0,0,0,0,0,0,84,3
S00135480,33,20,6,0,4,0,0,0,0,0,66,0
S00135481,35,5,10,0,0,0,4,0,0,1,63,13
S00135482,29,11,5,0,3,0,4,0,0,0,32,1
S00135483,30,5,5,0,0,0,0,0,0,1,64,11
S00135484,17,2,3,1,0,0,12,0,0,0,41,7
S00135485,33,15,0,0,4,1,0,0,0,1,101,8
S00135486,22,3,12,0,0,0,7,0,0,0,77,2
S00135487,50,6,8,1,2,0,0,0,0,0,82,8
S00135488,20,11,6,0,0,0,0,0,0,0,75,6
S00135489,5,13,3,0,0,0,0,0,2,0,118,3
S00135490,36,7,2,0,0,0,0,0,0,0,76,13
