dz_2011_code,age_0_years,age_1_years,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years,age_86_years,age_87_years,age_88_years,age_89_years,age_90_years_and_over
S01006506,4,7,12,4,9,6,6,12,9,10,12,14,15,7,10,12,10,7,7,3,5,5,4,6,6,10,2,12,15,18,12,19,13,6,12,6,21,13,11,20,18,11,10,6,5,8,15,17,12,17,10,18,12,12,5,11,9,19,13,12,8,14,8,18,14,5,16,10,10,12,11,1,12,11,12,7,10,10,5,5,0,3,2,4,3,3,2,2,4,2,7
S01006507,11,9,8,7,8,7,10,5,8,10,9,10,8,16,3,8,0,3,4,3,6,0,9,4,7,5,8,9,9,17,15,7,9,10,8,6,9,11,8,7,5,13,11,7,11,11,6,7,8,3,10,4,8,13,5,10,18,16,11,16,9,8,17,10,13,12,20,9,7,10,17,12,14,19,21,11,3,7,5,4,9,8,5,6,7,1,3,3,3,1,4
S01006508,3,4,6,4,6,2,4,12,2,14,8,6,8,4,3,5,5,6,6,0,4,4,1,1,4,11,7,7,13,15,11,16,14,20,7,12,9,7,9,5,16,7,8,9,7,3,15,9,6,18,5,7,7,10,8,12,16,6,12,8,10,10,10,2,14,5,6,5,11,8,4,9,4,2,4,3,2,3,0,2,0,0,1,1,1,1,0,1,4,0,3
S01006509,6,3,4,5,4,5,6,8,5,6,5,2,10,3,8,10,5,7,4,4,3,1,1,2,6,2,5,7,5,2,10,9,7,8,4,7,7,7,9,5,1,10,11,5,10,11,4,5,8,11,6,1,8,3,6,8,3,5,9,6,3,5,8,6,6,8,6,3,7,11,7,12,8,9,14,0,2,4,4,4,3,4,3,3,4,2,0,2,0,1,4
S01006510,3,0,2,4,5,4,10,2,7,6,5,8,6,7,10,7,6,7,6,1,5,5,7,5,4,5,5,6,8,10,10,9,8,15,12,6,7,6,0,4,11,6,5,4,6,10,9,6,13,10,13,6,6,13,11,8,11,7,12,12,4,15,8,8,2,10,6,3,7,6,8,4,7,2,6,6,8,5,11,7,7,6,6,7,3,1,6,0,7,5,17
S01006511,3,4,9,4,5,12,4,6,6,8,6,6,11,7,10,7,10,6,6,7,5,2,4,3,18,7,6,6,10,10,9,8,11,5,14,10,9,3,3,15,10,10,3,11,9,7,12,5,5,10,11,8,12,12,13,11,14,14,10,18,10,6,12,14,17,15,6,11,9,9,9,12,7,7,12,11,13,7,3,7,12,7,14,8,1,8,0,2,3,4,6
S01006512,6,2,4,10,3,7,4,1,5,2,11,3,9,11,11,12,15,9,13,2,9,3,4,4,3,3,4,4,3,5,5,10,7,4,8,3,4,5,4,3,5,1,9,7,9,7,7,10,6,7,9,15,4,7,14,14,9,14,20,14,15,6,12,15,10,11,4,10,21,21,8,10,7,9,12,6,6,8,4,0,5,3,1,4,3,0,1,2,0,1,6
S01006513,9,10,10,12,7,14,14,13,16,14,11,19,16,13,18,11,6,7,5,3,6,0,0,6,6,4,8,10,3,8,6,7,13,11,17,15,8,9,12,15,17,21,22,17,18,14,15,13,11,11,4,5,23,7,12,7,21,16,15,7,10,10,14,4,10,12,17,8,8,16,10,7,7,11,10,2,7,13,13,9,14,7,13,6,15,8,10,6,12,5,45
S01006514,7,10,7,5,13,18,12,12,10,18,19,14,18,23,19,7,21,22,29,16,17,12,22,13,22,18,11,20,18,19,13,13,13,12,19,17,9,20,21,12,24,19,13,17,14,16,14,14,19,15,20,16,23,22,17,12,20,17,12,19,15,14,13,12,14,12,11,15,12,7,5,13,2,6,10,13,5,9,15,14,10,5,9,8,4,6,2,4,3,6,35
S01006515,7,10,10,10,12,5,7,14,7,19,13,7,17,13,13,11,17,11,4,5,3,7,3,10,3,5,8,2,6,10,3,15,7,14,13,15,6,9,8,17,20,13,11,13,13,8,6,7,19,8,22,13,17,14,14,23,17,7,16,6,18,12,10,7,11,10,9,14,4,8,10,16,7,4,4,10,2,6,6,1,4,4,6,3,2,0,2,1,0,2,3
