oa_code	african_carribbean_black	asian	mixed	other	white
S00088956	10	8	8	6	420
S00088957	0	6	0	0	126
S00088958	0	28	0	0	152
S00088959	0	2	0	2	162
S00088960	0	4	0	0	132
S00088961	14	6	4	2	404
S00088962	0	0	0	0	172
S00088963	0	0	0	0	178
S00088964	4	4	2	2	162
S00088965	0	2	0	0	286
S00088966	2	6	6	0	220
S00088967	0	0	0	0	104
S00088968	0	0	0	0	112
S00088969	0	20	1	0	286
S00088970	8	10	1	2	188
S00088971	4	8	2	0	140
S00088972	16	22	1	0	218
S00088973	0	50	2	0	234
S00088974	4	26	1	0	208
S00088975	0	0	0	0	154
S00088976	0	12	0	2	124
S00088977	2	16	0	4	98
S00088978	0	4	0	4	112
S00088979	0	18	1	2	148
S00088980	4	10	0	4	114
S00088981	0	6	0	2	106
S00088982	2	10	2	0	116
S00088983	0	10	1	0	118
S00088984	0	0	0	2	108
S00088985	8	16	1	2	132
S00088986	6	14	1	2	238
S00088987	4	8	2	0	110
S00088988	0	10	0	2	122
S00088989	8	40	0	0	142
S00088990	12	6	0	6	190
S00088991	8	60	0	16	170
S00088992	86	68	12	12	892
S00088993	44	12	4	0	182
S00088994	12	6	0	0	96
S00088995	4	16	0	4	100
S00088996	20	16	1	0	166
S00088997	6	4	4	0	286
S00088998	18	14	0	12	208
S00088999	0	12	3	2	226
S00089000	2	6	2	4	224
S00089001	0	0	0	2	228
S00089002	14	18	6	0	226
S00089003	0	10	1	4	220
S00089004	4	2	2	2	182
S00089005	8	0	0	0	258
S00089006	0	8	2	2	194
S00089007	0	22	1	2	218
S00089008	4	6	1	0	134
S00089009	34	4	0	0	174
S00089010	0	0	1	4	252
S00089011	18	40	3	0	246
S00089012	8	2	0	24	200
S00089013	6	0	1	2	128
S00089014	8	10	1	6	208
S00089015	26	12	0	6	142
S00089016	4	12	2	4	156
S00089017	14	22	0	0	130
S00089018	6	18	2	0	268
S00089019	4	0	4	2	254
S00089020	20	8	2	2	124
S00089021	2	0	0	0	164
S00089022	20	10	1	0	160
S00089023	12	14	0	2	170
S00089024	0	6	1	2	120
S00089025	8	4	3	0	108
S00089026	6	4	0	0	124
S00089027	8	6	1	0	198
S00089028	4	14	0	0	138
S00089029	4	2	0	0	158
S00089030	0	4	3	2	120
S00089031	30	12	1	2	240
S00089032	4	20	2	0	140
S00089033	8	24	0	0	158
S00089034	0	12	0	8	96
S00089035	22	16	1	0	172
S00089036	0	14	1	4	114
S00089037	0	22	0	2	150
S00089038	18	12	0	0	86
S00089039	12	8	2	4	132
S00089040	0	12	0	0	170
S00089041	10	14	0	0	426
S00089042	6	0	0	6	124
S00089043	0	20	0	0	276
S00089044	2	2	0	0	138
S00089045	0	0	0	0	146
S00089046	12	6	0	2	476
S00089047	0	8	0	0	212
S00089048	2	0	0	0	180
S00089049	0	10	0	0	250
S00089050	2	2	1	0	210
S00089051	10	18	0	0	264
S00089052	10	4	1	0	280
S00089053	8	6	4	0	206
S00089054	12	0	1	0	138
S00089055	4	4	0	0	164
S00089056	4	2	0	2	134
