oa_code,white,white_scottish,white_other_british,white_irish,white_gypsy_traveller,white_polish,white_other_white,mixed_or_multiple_ethnic_groups,asian_asian_scottish_or_asian_british,asian_asian_scottish_or_asian_british_pakistani_pakistani_scottish_or_pakistani_british,asian_asian_scottish_or_asian_british_indian_indian_scottish_or_indian_british,asian_asian_scottish_or_asian_british_bangladeshi_bangladeshi_scottish_or_bangladeshi_british,asian_asian_scottish_or_asian_british_chinese_chinese_scottish_or_chinese_british,asian_asian_scottish_or_asian_british_other_asian,african,african_african_african_scottish_or_african_british,african_other_african,caribbean_or_black,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british,caribbean_or_black_black_black_scottish_or_black_british,caribbean_or_black_other_caribbean_or_black,other_ethnic_groups,other_ethnic_groups_arab_arab_scottish_or_arab_british,other_ethnic_groups_other_ethnic_group
S00088956,210,176,30,1,0,0,3,8,4,0,1,0,3,0,5,5,0,0,0,0,0,3,1,2
S00088957,63,53,6,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
S00088958,76,56,16,0,0,0,4,0,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S00088959,81,63,10,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
S00088960,66,45,15,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
S00088961,202,83,73,0,1,2,43,4,3,0,0,0,0,3,6,6,0,1,0,1,0,1,0,1
S00088962,86,58,18,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S00088963,89,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S00088964,81,65,12,0,0,0,4,2,2,0,0,0,0,2,0,0,0,2,0,0,2,1,0,1
S00088965,143,116,25,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S00088966,110,60,21,1,21,2,5,6,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
S00088967,52,47,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S00088968,56,43,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S00088969,143,135,4,2,0,0,2,1,10,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0
S00088970,94,56,23,3,0,0,12,1,5,0,0,0,1,4,3,3,0,1,0,1,0,1,1,0
S00088971,70,46,10,0,0,0,14,2,4,1,2,0,1,0,1,1,0,1,0,1,0,0,0,0
S00088972,109,72,19,4,0,5,9,1,11,0,9,0,1,1,7,7,0,1,0,1,0,0,0,0
S00088973,117,93,5,2,0,14,3,2,25,0,3,8,8,6,0,0,0,0,0,0,0,0,0,0
S00088974,104,93,5,0,0,3,3,1,13,5,4,0,4,0,1,1,0,1,1,0,0,0,0,0
S00088975,77,45,12,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S00088976,62,46,7,1,0,4,4,0,6,0,4,0,1,1,0,0,0,0,0,0,0,1,0,1
S00088977,49,31,7,1,1,3,6,0,8,0,4,2,1,1,0,0,0,1,1,0,0,2,2,0
S00088978,56,45,10,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0
S00088979,74,47,10,1,0,3,13,1,9,1,5,0,2,1,0,0,0,0,0,0,0,1,1,0
S00088980,57,41,12,1,0,0,3,0,5,0,3,0,2,0,2,2,0,0,0,0,0,2,2,0
S00088981,53,37,8,1,0,3,4,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
S00088982,58,37,4,3,0,3,11,2,5,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0
