oa_code,very_good,good,fair,bad,very_bad
S00088956,180,37,9,3,1
S00088957,35,25,4,2,0
S00088958,70,19,1,0,0
S00088959,56,21,5,1,0
S00088960,49,16,3,0,0
S00088961,86,94,32,5,0
S00088962,66,15,3,1,1
S00088963,58,21,8,1,1
S00088964,54,29,5,0,0
S00088965,83,40,17,4,0
S00088966,77,31,10,1,1
S00088967,36,11,3,2,0
S00088968,32,19,3,0,2
S00088969,96,46,11,1,0
S00088970,72,28,4,1,0
S00088971,57,14,7,0,0
S00088972,86,39,4,0,0
S00088973,61,53,26,3,1
S00088974,44,53,12,10,1
S00088975,51,17,8,0,1
S00088976,48,15,5,1,0
S00088977,42,17,0,0,1
S00088978,39,17,4,0,0
S00088979,51,26,7,0,1
S00088980,36,19,6,5,0
S00088981,26,14,11,4,2
S00088982,42,16,7,1,0
S00088983,16,25,17,6,1
S00088984,12,22,10,5,6
S00088985,45,23,11,1,0
S00088986,95,30,3,1,2
S00088987,35,22,3,3,0
S00088988,21,27,12,6,1
S00088989,51,38,6,0,0
S00088990,59,37,7,3,1
S00088991,81,31,13,0,2
S00088992,298,170,49,19,5
S00088993,77,37,7,2,0
S00088994,32,20,4,1,0
S00088995,42,19,1,0,0
S00088996,56,26,15,3,2
S00088997,103,37,11,1,0
S00088998,99,24,3,0,0
S00088999,75,41,6,1,0
S00089000,80,33,5,2,0
S00089001,59,39,13,1,3
S00089002,94,30,5,5,1
S00089003,64,21,26,5,2
S00089004,71,20,5,1,0
S00089005,75,46,7,2,3
S00089006,79,19,4,2,0
S00089007,89,28,5,0,0
S00089008,56,16,1,0,0
S00089009,87,14,4,1,0
S00089010,81,41,4,3,0
S00089011,96,45,11,3,0
S00089012,69,39,7,2,0
S00089013,52,13,4,0,0
S00089014,82,31,2,2,0
S00089015,72,21,0,0,0
S00089016,51,28,7,3,1
S00089017,58,20,5,0,0
S00089018,82,50,16,0,0
S00089019,83,38,9,3,1
S00089020,57,18,3,1,0
S00089021,49,25,9,0,0
S00089022,50,31,11,4,0
S00089023,63,27,7,2,0
S00089024,37,20,7,1,0
S00089025,39,14,7,2,1
S00089026,50,16,1,0,0
S00089027,62,36,6,3,0
S00089028,44,32,2,0,0
S00089029,49,24,6,2,1
S00089030,47,18,0,1,0
S00089031,104,33,6,0,0
S00089032,49,25,8,1,1
S00089033,58,22,8,4,3
S00089034,37,15,4,2,0
S00089035,74,20,8,3,1
S00089036,39,22,4,1,1
S00089037,60,21,6,0,0
S00089038,31,19,7,1,0
S00089039,42,25,13,0,0
S00089040,51,29,7,3,1
S00089041,72,49,91,8,5
S00089042,23,28,12,3,2
S00089043,64,59,14,8,3
S00089044,30,30,7,3,1
S00089045,30,23,18,2,0
S00089046,98,94,44,9,3
S00089047,50,45,11,2,2
S00089048,39,37,12,3,0
S00089049,70,36,14,5,5
S00089050,48,36,19,2,3
S00089051,70,57,10,6,3
S00089052,63,62,17,4,2
S00089053,46,41,20,5,2
S00089054,38,33,3,2,0
S00089055,38,30,12,5,1
S00089056,41,25,5,0,0
S00089057,39,26,13,7,0
S00089058,28,49,13,3,3
S00089059,25,15,13,2,0
S00089060,33,18,9,0,1
S00089061,43,26,5,1,0
S00089062,19,25,5,3,1
S00089063,56,24,2,1,0
S00089064,39,27,15,3,0
S00089065,44,31,13,7,0
S00089066,20,30,10,4,0
S00089067,50,37,16,5,0
S00089068,36,30,5,2,0
S00089069,30,20,8,2,0
S00089070,65,49,8,4,1
S00089071,32,28,20,5,3
S00089072,49,47,12,5,0
S00089073,39,39,12,3,1
S00089074,68,62,12,3,0
S00089075,53,24,8,2,0
S00089076,41,44,20,6,2
S00089077,45,31,9,4,1
S00089078,19,16,10,6,1
S00089079,23,27,5,5,1
S00089080,56,25,12,7,0
S00089081,19,31,17,6,1
S00089082,39,18,15,7,3
S00089083,49,43,17,9,2
S00089084,48,34,12,5,1
S00089085,62,34,21,3,1
S00089086,47,30,17,6,0
S00089087,52,67,13,6,3
S00089088,39,34,16,4,0
S00089089,70,26,8,4,2
S00089090,62,47,14,2,1
S00089091,78,54,12,6,0
S00089092,101,47,17,5,1
S00089093,69,62,21,13,1
S00089094,45,22,13,7,3
S00089095,73,29,11,3,3
S00089096,55,27,8,5,2
S00089097,33,28,16,5,1
S00089098,45,24,10,3,0
S00089099,61,43,14,2,0
S00089100,45,35,17,4,0
S00089101,41,20,10,4,0
S00089102,41,35,5,3,2
S00089103,31,36,20,2,0
S00089104,30,24,12,1,0
S00089105,42,39,14,1,0
S00089106,37,28,16,8,0
S00089107,35,39,8,0,0
S00089108,45,37,7,3,0
S00089109,34,18,6,0,2
S00089110,39,42,23,5,0
S00089111,76,51,15,3,2
S00089112,54,55,33,7,2
S00089113,4,14,24,19,3
S00089114,60,32,17,7,1
S00089115,79,39,26,9,1
S00089116,107,78,15,5,1
S00089117,50,46,19,8,2
S00089118,85,46,11,3,0
S00089119,50,23,12,2,0
S00089120,37,29,11,0,0
S00089121,49,75,39,7,3
S00089122,25,16,15,7,2
S00089123,61,53,29,7,1
S00089124,54,27,17,4,3
S00089125,78,58,20,6,2
S00089126,47,48,13,5,3
S00089127,29,34,20,8,2
S00089128,51,31,10,3,2
S00089129,145,41,7,2,2
S00089130,57,19,14,0,3
S00089131,52,32,13,4,1
S00089132,46,32,7,2,0
S00089133,37,32,12,4,2
S00089134,51,44,26,4,4
S00089135,71,58,14,0,1
S00089136,62,31,17,2,0
S00089137,56,31,18,3,1
S00089138,2,14,23,15,1
S00089139,41,29,7,8,1
S00089140,49,35,13,2,1
S00089141,64,44,11,0,1
S00089142,64,50,17,5,1
S00089143,41,48,12,3,1
S00089144,42,26,16,6,1
S00089145,51,47,19,8,2
S00089146,60,38,10,6,3
S00089147,54,20,15,7,0
S00089148,64,40,15,3,1
S00089149,76,28,16,3,1
S00089150,57,58,23,10,3
S00089151,24,18,15,4,0
S00089152,9,24,11,8,2
S00089153,11,32,15,5,0
S00089154,25,29,15,2,1
S00089155,22,41,14,3,4
S00089156,34,54,24,5,12
S00089157,51,29,16,7,2
S00089158,68,49,17,1,1
S00089159,50,18,12,6,4
S00089160,46,44,16,5,1
S00089161,44,27,17,5,2
S00089162,29,31,13,3,1
S00089163,49,48,13,2,3
S00089164,33,20,19,5,1
S00089165,54,33,14,4,0
S00089166,77,46,18,9,0
S00089167,49,41,12,5,0
S00089168,7,12,28,13,4
S00089169,49,51,15,2,0
S00089170,47,25,11,7,0
S00089171,25,30,10,7,2
S00089172,29,21,9,5,0
S00089173,70,41,21,4,3
S00089174,63,60,23,10,5
S00089175,65,38,12,6,3
S00089176,48,43,10,0,1
S00089177,56,51,13,5,4
S00089178,81,43,19,5,1
S00089179,78,65,25,4,0
S00089180,70,41,19,3,1
S00089181,38,43,14,4,2
S00089182,60,38,13,2,1
S00089183,48,33,12,5,0
S00089184,93,35,8,1,0
S00089185,87,40,6,2,1
S00089186,77,30,4,1,2
S00089187,42,19,5,1,0
S00089188,85,49,12,0,0
S00089189,88,50,12,1,1
S00089190,75,30,5,3,0
S00089191,88,33,14,2,0
S00089192,77,33,1,0,0
S00089193,93,33,5,1,0
S00089194,86,35,18,12,2
S00089195,82,45,7,1,0
S00089196,83,29,6,1,0
S00089197,76,34,6,0,0
S00089198,49,24,10,0,0
S00089199,62,30,6,2,0
S00089200,43,19,5,1,1
S00089201,69,21,8,0,0
S00089202,103,39,6,4,0
S00089203,146,46,18,3,1
S00089204,113,26,7,3,0
S00089205,76,27,12,1,1
S00089206,72,35,12,2,1
S00089207,67,18,10,5,0
S00089208,38,32,5,0,1
S00089209,40,27,5,1,0
S00089210,45,24,6,1,0
S00089211,38,24,6,1,2
S00089212,68,32,5,1,0
S00089213,49,11,7,1,0
S00089214,33,22,6,0,0
S00089215,34,26,6,0,1
S00089216,60,29,7,0,1
S00089217,51,21,5,2,0
S00089218,75,39,8,4,0
S00089219,52,22,8,2,0
S00089220,48,12,0,0,0
S00089221,84,48,11,3,0
S00089222,61,23,2,3,0
S00089223,33,24,8,5,0
S00089224,73,81,31,6,0
S00089225,39,14,3,2,0
S00089226,36,19,2,0,0
S00089227,73,37,15,3,0
S00089228,63,29,3,0,0
S00089229,57,36,2,1,1
S00089230,55,29,10,2,4
S00089231,54,26,5,1,1
S00089232,67,23,3,0,0
S00089233,57,21,2,0,0
S00089234,73,18,5,1,0
S00089235,70,26,8,0,0
S00089236,53,25,3,0,0
S00089237,88,19,9,1,0
S00089238,77,46,8,3,1
S00089239,74,18,6,0,0
S00089240,120,49,10,0,0
S00089241,35,21,7,2,0
S00089242,86,27,10,0,0
S00089243,77,31,6,1,0
S00089244,60,49,6,1,1
S00089245,43,27,9,4,1
S00089246,61,29,4,1,0
S00089247,79,66,17,3,1
S00089248,115,80,9,0,1
S00089249,72,28,4,1,0
S00089250,55,29,4,0,0
S00089251,74,28,2,1,1
S00089252,92,21,4,1,0
S00089253,73,40,11,5,0
S00089254,92,36,8,1,0
S00089255,76,37,5,0,1
S00089256,65,33,8,2,1
S00089257,63,28,5,1,0
S00089258,62,29,7,2,0
S00089259,56,21,4,3,0
S00089260,93,30,9,3,1
S00089261,110,43,4,1,0
S00089262,62,31,10,4,1
S00089263,52,31,5,4,0
S00089264,98,34,7,0,0
S00089265,49,27,6,2,0
S00089266,63,28,6,3,0
S00089267,51,24,4,0,0
S00089268,67,44,1,1,0
S00089269,56,41,4,0,0
S00089270,74,38,7,1,0
S00089271,58,27,4,1,0
S00089272,44,20,3,1,1
S00089273,57,36,6,2,0
S00089274,83,39,7,0,0
S00089275,2,19,31,12,0
S00089276,30,19,4,6,0
S00089277,103,47,23,1,3
S00089278,4,24,28,10,0
S00089279,51,16,0,0,0
S00089280,29,20,8,0,2
S00089281,49,21,3,2,0
S00089282,45,18,4,2,0
S00089283,25,20,7,2,0
S00089284,50,36,15,2,2
S00089285,83,37,5,3,0
S00089286,63,35,6,1,1
S00089287,14,44,24,5,0
S00089288,74,54,16,5,2
S00089289,48,43,25,2,6
S00089290,38,17,11,2,1
S00089291,57,28,11,3,0
S00089292,49,32,9,0,0
S00089293,89,40,19,4,1
S00089294,92,45,9,2,0
S00089295,95,62,26,5,2
S00089296,78,60,15,5,3
S00089297,39,39,11,4,0
S00089298,51,26,12,5,4
S00089299,22,21,14,4,3
S00089300,46,38,12,3,0
S00089301,53,46,15,1,1
S00089302,54,40,9,1,0
S00089303,70,65,19,9,4
S00089304,81,59,13,5,1
S00089305,20,23,17,9,2
S00089306,58,35,28,15,5
S00089307,32,34,15,5,2
S00089308,41,26,6,3,1
S00089309,66,61,18,2,1
S00089310,95,46,25,4,1
S00089311,34,41,23,2,1
S00089312,96,53,13,2,0
S00089313,74,52,19,5,0
S00089314,80,35,6,3,1
S00089315,61,31,14,2,0
S00089316,64,30,10,1,1
S00089317,66,22,6,0,0
S00089318,68,26,11,2,0
S00089319,63,60,8,2,1
S00089320,76,40,7,2,0
S00089321,46,28,10,1,0
S00089322,60,47,12,4,1
S00089323,44,26,8,5,0
S00089324,43,41,8,2,0
S00089325,66,30,6,0,0
S00089326,76,40,14,0,0
S00089327,58,39,10,1,0
S00089328,59,39,9,2,2
S00089329,55,29,6,3,2
S00089330,105,34,9,2,1
S00089331,94,57,14,3,0
S00089332,109,48,13,1,1
S00089333,95,66,12,3,0
S00089334,96,34,16,3,1
S00089335,99,35,10,0,0
S00089336,56,31,6,0,0
S00089337,15,33,5,4,0
S00089338,74,57,21,4,0
S00089339,80,59,8,2,1
S00089340,65,33,20,6,1
S00089341,40,24,9,4,0
S00089342,13,26,28,6,2
S00089343,41,23,5,2,0
S00089344,36,20,11,3,0
S00089345,56,33,5,4,0
S00089346,100,32,11,2,0
S00089347,66,31,9,1,1
S00089348,45,38,8,1,0
S00089349,53,34,8,0,2
S00089350,77,34,7,5,0
S00089351,106,56,10,3,0
S00089352,88,49,15,5,1
S00089353,61,36,12,1,1
S00089354,53,30,5,1,0
S00089355,109,44,8,4,0
S00089356,23,27,10,1,0
S00089357,57,32,23,4,2
S00089358,37,31,12,3,2
S00089359,61,47,19,1,1
S00089360,43,43,15,8,4
S00089361,60,49,30,10,2
S00089362,32,51,45,6,0
S00089363,34,20,6,0,0
S00089364,59,32,5,0,0
S00089365,91,34,7,0,0
S00089366,63,29,12,1,0
S00089367,47,33,16,4,2
S00089368,35,17,6,0,0
S00089369,82,27,8,3,0
S00089370,30,33,32,11,1
S00089371,60,39,17,5,2
S00089372,32,22,4,4,1
S00089373,52,34,7,3,1
S00089374,43,21,20,11,2
S00089375,64,52,16,3,2
S00089376,70,49,14,1,1
S00089377,45,27,8,0,2
S00089378,62,34,6,0,1
S00089379,85,71,12,1,0
S00089380,98,51,6,0,1
S00089381,65,37,5,1,0
S00089382,63,50,10,1,2
S00089383,68,27,10,2,1
S00089384,73,26,6,0,1
S00089385,69,52,54,14,0
S00089386,95,79,27,7,0
S00089387,75,55,25,2,1
S00089388,110,41,7,0,1
S00089389,52,34,12,0,0
S00089390,54,27,9,2,1
S00089391,33,43,22,3,0
S00089392,37,22,18,5,3
S00089393,43,26,10,6,1
S00089394,27,17,14,10,0
S00089395,40,56,10,5,0
S00089396,10,35,15,7,5
S00089397,55,31,10,3,2
S00089398,47,35,13,1,0
S00089399,4,16,18,9,4
S00089400,62,28,6,2,0
S00089401,22,29,14,5,3
S00089402,35,24,19,3,3
S00089403,71,23,4,0,0
S00089404,46,36,12,1,0
S00089405,85,19,6,2,0
S00089406,105,30,9,1,0
S00089407,79,35,13,1,0
S00089408,71,23,9,0,1
S00089409,80,27,8,1,1
S00089410,88,28,3,2,0
S00089411,74,19,5,0,0
S00089412,118,47,21,3,1
S00089413,132,46,7,2,1
S00089414,23,25,7,7,1
S00089415,57,22,8,8,2
S00089416,105,38,6,2,0
S00089417,80,37,15,0,1
S00089418,90,39,16,4,0
S00089419,75,29,11,3,0
S00089420,95,39,6,1,1
S00089421,115,49,4,2,1
S00089422,40,31,12,4,1
S00089423,115,36,9,2,1
S00089424,102,32,9,1,0
S00089425,139,37,7,0,0
S00089426,160,28,1,0,0
S00089427,50,25,3,1,0
S00089428,49,24,8,2,0
S00089429,95,24,16,0,0
S00089430,52,44,21,6,3
S00089431,49,45,37,4,3
S00089432,25,25,10,1,0
S00089433,41,22,7,3,1
S00089434,50,24,6,0,0
S00089435,75,37,7,1,0
S00089436,85,27,5,0,0
S00089437,98,38,5,1,0
S00089438,101,40,7,4,2
S00089439,78,26,7,1,0
S00089440,42,13,3,1,0
S00089441,35,32,9,6,1
S00089442,56,31,17,1,1
S00089443,37,20,2,4,0
S00089444,104,24,3,1,0
S00089445,112,30,2,1,0
S00089446,81,22,5,1,0
S00089447,65,23,4,0,0
S00089448,77,23,3,0,1
S00089449,74,49,15,2,1
S00089450,47,25,13,7,2
S00089451,32,19,25,10,5
S00089452,23,34,35,7,0
S00089453,51,42,10,6,1
S00089454,35,19,11,8,3
S00089455,30,33,18,11,1
S00089456,64,26,30,7,1
S00089457,48,29,6,0,2
S00089458,45,27,6,1,0
S00089459,45,13,2,1,0
S00089460,4,22,39,16,3
S00089461,42,33,17,11,1
S00089462,43,29,8,5,2
S00089463,74,42,12,3,1
S00089464,74,45,12,2,0
S00089465,53,23,5,3,0
S00089466,44,14,22,12,6
S00089467,48,25,6,2,1
S00089468,35,24,6,3,0
S00089469,80,27,5,2,0
S00089470,45,23,3,1,0
S00089471,39,29,4,1,0
S00089472,38,28,13,4,0
S00089473,46,37,6,2,3
S00089474,57,42,17,12,1
S00089475,33,32,5,0,0
S00089476,24,23,9,2,1
S00089477,56,45,3,0,0
S00089478,65,30,3,0,2
S00089479,44,22,2,3,0
S00089480,37,23,7,1,0
S00089481,94,26,3,0,0
S00089482,39,25,6,1,1
S00089483,57,23,5,2,0
S00089484,35,34,23,12,5
S00089485,38,26,4,0,0
S00089486,26,26,34,13,2
S00089487,27,29,15,8,1
S00089488,74,29,14,5,0
S00089489,101,25,4,0,1
S00089490,157,75,12,5,1
S00089491,74,29,5,0,1
S00089492,24,23,12,9,3
S00089493,30,27,9,6,2
S00089494,19,13,24,17,1
S00089495,21,28,16,2,2
S00089496,20,16,16,13,3
S00089497,130,68,10,4,1
S00089498,63,40,12,8,1
S00089499,38,18,11,4,0
S00089500,49,29,8,5,0
S00089501,68,43,26,6,3
S00089502,73,41,14,3,4
S00089503,3,14,24,16,5
S00089504,4,15,27,9,4
S00089505,5,26,21,12,0
S00089506,33,35,13,6,1
S00089507,35,37,17,4,0
S00089508,49,38,12,7,1
S00089509,33,12,3,2,1
S00089510,60,49,10,7,2
S00089511,37,25,18,6,2
S00089512,26,21,6,5,0
S00089513,57,41,16,11,1
S00089514,49,34,14,5,1
S00089515,183,65,16,2,2
S00089516,55,32,9,9,2
S00089517,31,15,16,10,1
S00089518,54,62,44,10,1
S00089519,46,46,16,9,1
S00089520,47,33,7,3,1
S00089521,53,57,17,4,0
S00089522,62,43,11,0,0
S00089523,40,41,15,4,1
S00089524,47,24,16,9,3
S00089525,30,36,8,4,0
S00089526,32,34,30,11,2
S00089527,20,31,37,15,4
S00089528,30,34,20,7,0
S00089529,49,41,16,6,6
S00089530,36,19,10,2,0
S00089531,28,34,12,5,3
S00089532,55,34,15,4,2
S00089533,35,30,8,4,2
S00089534,46,51,19,3,1
S00089535,32,41,5,6,2
S00089536,41,42,23,6,2
S00089537,36,22,11,6,1
S00089538,39,24,14,7,4
S00089539,32,30,10,6,1
S00089540,51,32,10,4,0
S00089541,43,30,16,3,4
S00089542,79,34,9,1,1
S00089543,24,28,18,7,3
S00089544,45,46,8,3,0
S00089545,5,14,24,19,0
S00089546,61,36,8,2,0
S00089547,66,45,18,14,0
S00089548,74,65,15,4,3
S00089549,30,41,19,6,2
S00089550,52,35,8,5,1
S00089551,23,22,21,7,3
S00089552,46,23,6,2,0
S00089553,28,26,29,17,1
S00089554,22,35,9,2,1
S00089555,69,48,17,6,1
S00089556,40,33,6,1,0
S00089557,72,40,21,4,1
S00089558,77,35,8,5,0
S00089559,83,52,14,4,1
S00089560,36,28,9,4,1
S00089561,42,44,10,3,2
S00089562,51,37,16,7,0
S00089563,40,19,11,4,2
S00089564,52,32,11,2,1
S00089565,85,36,20,4,2
S00089566,77,44,15,2,2
S00089567,102,51,12,8,1
S00089568,87,66,14,8,2
S00089569,38,32,31,9,1
S00089570,82,36,14,4,1
S00089571,93,45,8,4,0
S00089572,33,28,10,4,1
S00089573,60,31,5,7,0
S00089574,53,22,3,2,0
S00089575,30,36,6,0,0
S00089576,77,39,7,2,1
S00089577,48,25,9,7,0
S00089578,61,29,11,6,2
S00089579,46,33,5,2,2
S00089580,61,39,8,1,0
S00089581,44,30,8,5,2
S00089582,43,66,8,1,2
S00089583,37,57,26,12,2
S00089584,21,24,12,8,1
S00089585,76,37,11,5,2
S00089586,62,33,6,4,3
S00089587,33,20,13,1,2
S00089588,38,30,14,5,1
S00089589,37,35,11,3,1
S00089590,49,40,13,5,0
S00089591,52,42,18,7,1
S00089592,37,40,10,7,1
S00089593,49,46,16,9,0
