oa_code,one_person_household_aged_65_and_over,one_person_household_aged_under_65,one_family_only_all_aged_65_and_over,one_family_only_married_or_same_sex_civil_partnership_couple_no_children,one_family_only_married_or_same_sex_civil_partnership_couple_with_dependent_children,one_family_only_married_or_same_sex_civil_partnership_couple_all_children_non_dependent,one_family_only_cohabiting_couple_no_children,one_family_only_cohabiting_couple_with_dependent_children,one_family_only_cohabiting_couple_all_children_non_dependent,one_family_only_lone_parent_with_dependent_children,one_family_only_lone_parent_all_children_non_dependent,other_households_with_dependent_children,other_households_all_full_time_students,other_households_all_aged_65_and_over,other_households_other
S00088956,0,3,6,9,31,3,6,4,0,4,5,2,0,0,1
S00088957,4,2,3,3,4,5,2,0,0,0,2,0,0,0,1
S00088958,1,1,0,2,15,3,1,1,0,1,1,1,0,0,0
S00088959,0,5,2,9,9,2,0,1,0,0,1,0,0,1,2
S00088960,0,0,2,9,8,3,0,0,0,0,1,0,0,0,0
S00088961,2,1,4,5,2,1,1,1,0,0,0,2,0,0,3
S00088962,2,0,1,4,9,4,0,3,0,0,1,1,0,1,0
S00088963,2,3,4,5,10,1,1,3,0,0,3,0,0,1,0
S00088964,2,1,1,10,9,6,1,1,0,1,1,0,0,0,0
S00088965,5,10,7,10,11,3,3,2,0,3,2,2,0,0,0
S00088966,4,11,2,8,8,5,5,3,0,2,0,0,1,0,1
S00088967,2,4,1,4,6,1,3,0,0,0,1,0,0,0,0
S00088968,0,1,5,4,6,3,0,1,0,0,1,0,0,0,0
S00088969,4,8,2,10,10,8,1,2,0,3,2,3,0,0,3
S00088970,1,11,3,10,10,1,4,0,1,0,3,0,2,0,2
S00088971,3,17,3,4,5,0,4,3,0,1,0,0,1,0,0
S00088972,2,40,0,5,6,2,8,0,0,2,1,0,6,0,3
S00088973,14,12,6,8,8,3,1,0,0,8,3,1,1,0,6
S00088974,4,21,2,3,3,3,2,0,0,8,8,2,1,0,2
S00088975,0,19,0,3,3,2,1,2,0,1,1,0,4,0,3
S00088976,3,21,2,1,2,0,12,0,0,0,0,0,1,0,3
S00088977,2,20,0,0,0,0,3,0,0,0,1,0,8,0,6
S00088978,3,11,0,2,1,0,4,0,0,1,0,1,6,0,4
S00088979,0,19,0,3,1,0,8,1,0,1,0,0,5,0,11
S00088980,5,21,0,2,1,0,3,0,0,0,1,0,4,0,8
S00088981,4,27,0,2,0,0,3,1,0,2,1,0,2,0,1
S00088982,4,12,0,7,1,0,4,0,0,0,3,0,2,0,6
S00088983,11,19,4,1,1,0,2,0,0,2,2,0,0,0,2
S00088984,13,21,1,3,0,1,3,0,0,0,0,0,0,0,2
S00088985,2,26,0,3,4,0,9,0,0,0,1,0,0,0,5
S00088986,0,33,0,5,0,0,16,0,0,1,0,0,11,0,11
S00088987,1,14,0,2,1,0,9,0,0,0,0,0,4,0,6
S00088988,3,47,0,2,1,0,1,2,0,1,0,0,0,0,0
S00088989,0,22,0,4,4,0,8,0,0,0,0,1,4,0,8
S00088990,1,30,0,3,1,0,10,1,0,1,1,1,4,0,10
S00088991,3,47,0,5,2,0,5,0,0,0,1,1,10,0,7
S00088992,32,26,6,3,0,0,3,0,0,1,0,0,0,1,0
S00088993,0,25,0,6,7,0,7,1,0,3,1,2,6,0,3
S00088994,0,17,0,2,0,0,2,0,0,2,1,1,5,0,4
S00088995,0,13,0,7,0,0,6,0,0,1,0,0,6,0,3
S00088996,5,5,3,2,2,1,0,1,0,5,5,2,8,0,2
S00088997,6,14,4,13,13,3,5,3,0,1,1,1,0,0,3
S00088998,1,19,0,13,15,0,3,3,0,1,0,0,1,0,1
S00088999,3,13,2,13,9,6,2,2,0,0,0,1,0,0,3
S00089000,6,55,0,4,2,0,17,0,0,0,1,1,1,0,2
S00089001,11,8,5,9,9,4,4,1,0,0,1,0,1,0,2
S00089002,4,12,3,6,15,0,4,3,0,1,0,0,0,0,5
S00089003,3,8,2,9,4,0,3,4,0,0,0,1,3,0,6
S00089004,3,21,1,7,8,1,5,2,0,0,1,0,1,0,1
S00089005,2,9,9,8,17,3,1,2,0,1,1,1,0,0,2
S00089006,2,6,1,6,11,1,8,3,0,0,1,2,0,0,1
S00089007,6,20,1,4,7,0,11,2,0,1,0,1,4,0,5
S00089008,0,24,0,4,0,0,12,0,0,1,0,0,1,0,6
S00089009,0,24,1,5,6,0,11,2,0,0,1,0,1,0,10
S00089010,3,26,3,4,8,3,11,1,0,2,1,0,2,0,3
S00089011,4,42,0,5,4,1,6,3,0,2,0,0,4,0,15
S00089012,9,19,0,5,3,1,9,1,0,0,4,0,3,0,7
S00089013,2,20,1,2,2,0,8,1,0,0,2,1,1,0,1
S00089014,0,31,0,6,5,0,5,1,0,2,1,0,5,0,11
S00089015,0,23,0,6,2,0,12,1,0,0,0,0,3,0,7
S00089016,2,25,0,5,2,2,10,0,0,1,0,0,1,0,6
S00089017,0,24,0,6,2,0,7,0,0,0,1,0,1,0,9
S00089018,8,6,2,14,8,1,4,2,0,1,1,1,0,0,6
S00089019,4,24,2,10,4,0,10,5,0,1,2,1,1,0,6
S00089020,2,23,0,9,4,0,5,0,0,1,1,0,2,0,1
S00089021,3,19,0,8,6,2,5,0,0,1,0,0,0,0,1
S00089022,4,26,1,7,1,0,7,2,0,0,0,1,0,0,3
S00089023,4,12,3,8,6,1,5,1,0,0,4,1,2,0,1
S00089024,5,27,0,1,1,0,5,0,0,0,0,0,5,0,3
S00089025,2,31,0,1,0,0,9,0,0,0,0,0,1,0,4
S00089026,0,24,2,3,1,1,7,0,0,0,0,0,1,0,5
S00089027,3,39,0,2,0,0,21,0,0,1,0,0,2,0,3
S00089028,1,39,0,3,0,0,10,0,0,0,0,0,1,0,5
S00089029,1,38,0,3,1,0,10,1,0,1,0,0,1,0,3
S00089030,1,30,0,1,1,0,10,0,0,1,1,0,1,0,2
S00089031,2,37,0,4,2,0,10,2,1,5,1,0,5,0,11
S00089032,1,15,0,0,3,1,3,3,0,1,0,0,0,0,3
S00089033,1,22,1,3,3,2,11,0,0,0,2,1,2,0,3
S00089034,2,14,2,4,2,0,6,1,0,0,1,1,1,0,0
S00089035,4,48,1,2,2,2,4,0,0,3,2,3,2,0,0
S00089036,1,22,0,1,2,0,4,1,0,0,2,0,2,0,4
S00089037,2,24,0,0,5,0,11,0,0,2,0,0,3,0,7
S00089038,0,23,0,0,0,1,7,2,0,0,0,0,2,0,4
S00089039,0,20,0,5,2,1,6,2,0,0,0,1,2,0,5
S00089040,1,10,0,1,4,3,0,1,1,10,3,3,0,0,2
S00089041,2,21,4,9,8,2,9,3,1,2,7,1,0,0,1
S00089042,1,5,0,1,4,0,3,1,1,5,3,2,0,0,2
S00089043,1,16,0,3,7,2,1,7,1,15,0,3,0,0,3
S00089044,1,13,0,3,1,1,0,4,1,5,4,0,0,0,1
S00089045,7,5,5,4,4,0,0,3,0,3,4,1,0,0,0
S00089046,3,8,7,8,7,3,3,0,1,1,1,0,1,0,0
S00089047,3,18,8,5,7,2,3,0,0,0,1,2,1,0,2
S00089048,11,6,4,7,5,2,1,1,0,1,6,0,0,0,2
S00089049,7,8,2,9,6,10,3,3,1,3,0,1,0,0,0
S00089050,4,5,8,6,5,2,1,3,0,6,3,0,0,1,4
S00089051,4,23,1,10,6,1,6,0,0,5,1,2,0,1,11
S00089052,8,16,4,10,3,12,2,1,0,4,3,2,0,0,5
S00089053,1,41,2,5,4,0,4,3,0,3,0,2,0,0,3
S00089054,2,27,1,5,2,0,4,0,0,1,0,1,1,0,4
S00089055,2,37,0,3,0,1,7,0,0,0,1,1,1,0,4
S00089056,2,33,0,0,1,0,9,1,0,0,0,0,0,0,4
S00089057,5,32,0,3,1,2,3,0,0,2,2,0,1,0,6
S00089058,4,45,1,4,2,1,7,1,0,0,1,0,0,0,4
S00089059,0,25,0,4,1,0,5,0,0,0,0,0,0,0,4
S00089060,1,24,0,0,4,0,5,1,0,1,0,0,0,0,2
S00089061,2,18,0,3,7,1,5,1,0,0,0,0,2,0,2
S00089062,2,17,1,1,2,0,3,0,0,0,1,0,0,0,5
S00089063,1,22,0,4,5,1,6,1,0,2,1,0,2,0,3
S00089064,2,32,1,4,4,0,6,0,0,1,1,0,0,0,4
S00089065,0,48,0,3,2,1,5,2,0,4,0,0,1,0,1
S00089066,0,20,2,2,0,0,8,1,0,0,0,2,2,0,2
S00089067,1,22,0,2,2,1,3,1,0,0,0,5,3,0,12
S00089068,2,22,1,2,3,1,1,2,0,1,1,0,0,0,6
S00089069,2,14,0,0,5,0,8,0,0,0,0,1,0,0,2
S00089070,2,30,0,4,5,0,12,1,2,2,3,2,2,0,6
S00089071,19,19,0,5,2,2,4,1,0,0,1,2,0,0,2
S00089072,3,49,0,3,3,1,3,2,0,1,0,3,2,0,3
S00089073,2,39,0,6,1,2,6,1,0,0,1,0,0,0,5
S00089074,5,32,2,7,7,3,6,2,0,2,3,3,0,0,3
S00089075,1,17,0,4,4,0,7,1,0,4,1,0,1,0,6
S00089076,14,33,2,3,3,2,5,1,0,5,3,0,0,0,4
S00089077,2,29,0,5,4,0,10,1,0,1,0,1,0,0,2
S00089078,11,3,5,2,1,0,3,2,0,1,3,0,0,0,0
S00089079,1,2,2,4,2,1,1,2,1,4,3,2,0,0,0
S00089080,2,12,0,0,4,0,1,4,0,14,0,0,0,0,5
S00089081,17,13,3,5,1,2,6,0,0,1,1,1,0,0,0
S00089082,9,10,6,5,5,0,2,1,0,3,2,0,0,0,1
S00089083,7,9,1,3,3,6,1,3,2,9,4,0,0,1,4
S00089084,9,7,4,8,5,1,2,1,0,8,2,0,0,0,0
S00089085,9,7,1,3,6,4,3,1,2,12,3,0,0,0,3
S00089086,5,4,2,4,5,9,2,0,1,3,1,1,0,0,1
S00089087,7,28,4,5,5,5,8,2,0,7,0,2,1,0,1
S00089088,7,13,3,3,3,2,5,2,0,1,3,3,0,0,0
S00089089,6,23,2,3,3,3,1,6,2,3,0,2,0,0,1
S00089090,7,14,1,3,4,4,5,1,0,5,1,4,0,1,2
S00089091,4,2,1,4,12,0,2,3,0,11,8,1,0,0,1
S00089092,1,5,2,2,11,1,2,5,0,14,5,0,0,0,5
S00089093,5,32,0,7,9,1,4,5,2,7,1,3,0,0,2
S00089094,3,12,1,4,6,1,2,1,0,6,2,2,0,0,0
S00089095,3,15,0,3,6,2,3,2,0,8,3,5,0,0,1
S00089096,2,9,0,3,2,4,1,7,0,9,1,1,0,0,1
S00089097,2,20,0,3,3,0,7,1,1,7,3,0,0,0,0
S00089098,0,11,0,0,7,1,1,4,0,6,0,0,1,0,3
S00089099,1,10,2,4,8,3,2,3,0,9,3,2,0,0,3
S00089100,10,5,9,3,8,4,0,0,0,0,2,2,0,0,2
S00089101,1,21,0,2,4,0,3,3,0,1,4,0,0,0,2
S00089102,3,9,1,2,3,1,2,5,1,8,1,1,0,0,1
S00089103,5,21,1,4,4,0,10,2,0,1,1,0,1,0,2
S00089104,1,24,1,5,1,3,3,0,1,0,0,1,0,0,2
S00089105,6,35,1,4,2,3,7,0,1,2,2,0,0,0,1
S00089106,6,21,1,5,4,2,9,0,0,0,0,0,0,0,3
S00089107,5,13,3,3,3,1,2,2,1,6,2,0,0,0,2
S00089108,4,10,2,5,4,1,6,3,1,7,3,0,0,0,0
S00089109,3,15,1,3,5,2,2,1,0,0,0,0,0,0,0
S00089110,6,24,6,6,3,1,4,0,0,2,2,3,0,0,3
S00089111,4,14,2,8,7,3,8,3,0,6,4,2,0,0,2
S00089112,14,42,3,2,5,1,7,2,1,6,3,2,0,0,3
S00089113,27,4,12,1,0,0,1,0,0,1,0,0,0,1,0
S00089114,3,12,4,1,5,4,3,3,0,12,3,0,0,0,0
S00089115,4,25,7,5,8,2,9,4,1,2,0,2,0,0,3
S00089116,2,12,0,1,13,2,3,10,0,16,3,5,0,0,1
S00089117,2,31,1,4,5,0,1,4,0,13,4,1,0,0,1
S00089118,6,9,10,11,9,2,4,1,1,1,3,1,1,0,2
S00089119,9,4,7,11,2,2,1,1,2,1,1,1,0,0,0
S00089120,3,3,4,5,3,3,2,1,0,1,3,1,0,0,2
S00089121,8,28,3,7,3,2,4,4,1,0,1,1,2,0,2
S00089122,3,15,2,2,2,0,3,0,0,10,1,0,0,0,0
S00089123,7,7,2,5,10,6,2,1,1,6,5,3,0,0,1
S00089124,4,5,4,2,5,4,1,1,2,3,5,0,0,0,3
S00089125,6,11,1,8,8,11,1,1,1,7,6,1,0,0,2
S00089126,2,5,5,3,2,0,1,3,0,10,7,3,0,0,2
S00089127,5,8,2,8,6,2,3,2,0,1,2,1,0,0,1
S00089128,2,11,1,4,4,2,1,5,1,3,4,0,0,0,1
S00089129,2,10,2,15,17,8,4,4,0,1,1,5,0,0,2
S00089130,7,5,4,2,8,2,1,2,0,3,7,1,0,0,1
S00089131,6,4,3,3,6,4,3,2,2,3,2,0,0,0,2
S00089132,3,9,1,12,6,3,3,1,0,0,3,0,0,0,0
S00089133,6,7,6,6,6,1,3,1,0,2,2,0,0,0,1
S00089134,6,12,13,10,5,5,3,1,0,2,2,1,0,0,1
S00089135,16,11,10,15,9,4,4,0,1,0,0,0,0,0,3
S00089136,7,6,6,10,7,5,2,1,0,3,4,0,0,0,1
S00089137,4,7,10,10,5,5,1,1,0,0,0,2,1,0,0
S00089138,38,1,7,0,0,0,0,0,0,0,0,0,0,1,0
S00089139,7,4,2,7,4,3,4,1,0,4,0,0,0,0,1
S00089140,6,9,4,1,3,6,1,2,0,5,3,0,0,1,4
S00089141,4,6,2,7,8,5,3,2,2,3,3,0,0,1,3
S00089142,6,3,1,7,10,5,4,0,0,4,4,1,0,1,7
S00089143,4,5,6,8,8,2,0,0,0,1,2,2,0,0,3
S00089144,5,9,3,7,6,6,0,0,0,3,3,1,0,0,1
S00089145,3,11,5,4,8,5,4,4,2,1,1,2,0,0,2
S00089146,7,7,4,1,11,3,4,3,0,2,1,0,0,0,0
S00089147,3,8,3,3,2,2,4,3,0,14,3,0,0,0,2
S00089148,5,4,3,6,5,2,2,2,1,6,2,3,1,0,2
S00089149,0,7,1,1,6,2,3,7,1,6,2,3,0,0,1
S00089150,8,14,7,6,12,4,3,3,1,9,1,0,0,0,1
S00089151,7,16,2,4,0,0,2,1,0,4,1,0,0,0,0
S00089152,9,22,2,3,0,0,4,1,0,0,1,0,0,0,0
S00089153,16,7,2,5,0,0,2,1,0,1,3,1,0,0,2
S00089154,4,14,0,3,2,2,4,4,0,2,2,0,0,0,0
S00089155,4,3,8,7,4,3,3,0,0,3,1,0,0,0,3
S00089156,3,9,13,4,5,2,3,2,0,3,3,1,0,0,1
S00089157,10,7,4,9,4,6,0,2,2,1,2,0,0,0,1
S00089158,12,6,4,4,14,6,0,1,1,0,6,1,0,0,0
S00089159,10,6,4,3,5,2,5,3,0,0,2,0,0,0,3
S00089160,11,8,5,5,5,4,2,0,1,2,4,2,1,0,0
S00089161,4,7,7,5,6,5,1,0,0,3,5,0,0,0,0
S00089162,2,6,3,4,2,3,0,5,0,4,3,0,0,0,2
S00089163,6,10,1,8,6,2,0,2,0,7,5,0,0,0,4
S00089164,5,10,6,3,4,1,2,1,0,1,3,1,0,0,2
S00089165,11,6,5,8,4,5,3,3,0,1,0,0,0,0,3
S00089166,20,9,5,6,8,5,0,6,1,8,2,0,0,0,1
S00089167,7,9,5,6,3,4,5,2,0,4,4,1,0,0,2
S00089168,39,3,9,1,0,0,0,0,0,0,0,0,0,1,0
S00089169,7,7,2,4,5,5,1,2,0,8,3,1,0,1,0
S00089170,7,15,4,3,3,1,1,7,0,4,1,0,0,0,0
S00089171,10,11,5,0,2,1,0,1,2,1,6,0,0,0,2
S00089172,3,7,2,2,2,0,3,2,0,5,3,0,0,1,1
S00089173,6,10,3,12,3,6,1,6,2,5,5,2,0,0,1
S00089174,10,12,6,4,10,3,5,5,3,5,5,1,0,0,2
S00089175,8,18,4,2,4,3,3,2,0,11,6,1,1,0,1
S00089176,3,9,1,5,6,3,3,4,1,3,1,0,0,0,3
S00089177,13,15,1,5,7,2,5,3,1,10,3,0,0,0,2
S00089178,14,7,6,10,8,5,2,5,0,4,4,0,0,0,1
S00089179,13,10,4,11,8,7,3,6,0,8,6,0,0,0,1
S00089180,15,5,3,8,2,7,3,1,1,5,6,2,0,0,2
S00089181,7,9,7,1,5,3,3,1,0,3,4,1,0,0,1
