oa_code,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
S00088956,77,33,22,0,0,0,0,0,0,87,11
S00088957,30,3,7,1,0,0,3,0,0,21,1
S00088958,24,1,16,0,0,0,11,0,0,33,5
S00088959,15,7,5,0,0,0,0,0,0,46,10
S00088960,16,3,11,0,0,0,0,0,0,32,6
S00088961,38,14,54,0,0,0,1,0,2,60,48
S00088962,39,17,14,0,0,0,0,0,0,10,6
S00088963,27,4,7,0,0,0,0,0,0,42,9
S00088964,29,5,12,0,0,0,0,0,0,35,7
S00088965,55,1,7,0,0,0,0,0,0,65,16
S00088966,27,7,18,0,0,0,7,3,0,50,8
S00088967,36,1,0,0,0,0,0,0,0,14,1
S00088968,14,9,2,0,0,0,0,0,0,28,3
S00088969,58,5,2,0,0,0,8,0,1,56,24
S00088970,21,7,11,0,0,0,5,0,0,52,9
S00088971,16,8,3,0,2,0,0,0,2,43,4
S00088972,21,23,16,0,6,0,0,0,0,46,17
S00088973,32,14,8,4,2,0,8,0,1,61,14
S00088974,24,10,7,1,0,0,5,0,0,54,19
S00088975,6,10,10,0,0,0,1,0,0,47,3
S00088976,7,12,8,0,0,0,1,0,0,38,3
S00088977,2,0,4,1,4,0,4,0,0,43,2
S00088978,3,4,3,0,0,0,2,0,1,37,10
S00088979,7,13,9,1,4,0,1,0,1,43,6
S00088980,9,7,6,0,1,0,3,0,1,34,5
S00088981,3,9,3,1,0,0,1,0,1,34,5
S00088982,8,17,2,0,0,0,1,0,0,37,1
S00088983,23,5,4,0,1,0,0,0,0,26,6
S00088984,20,5,3,0,0,0,1,0,2,21,3
S00088985,6,13,10,0,0,0,6,0,0,37,8
S00088986,15,13,13,2,2,1,2,1,0,73,9
S00088987,5,7,5,0,3,0,0,1,0,38,4
S00088988,13,2,4,0,1,0,1,0,1,44,1
S00088989,7,20,5,0,9,0,0,0,0,48,6
S00088990,10,12,9,0,3,0,5,0,1,56,11
S00088991,12,15,5,0,23,0,10,0,0,56,6
S00088992,55,75,107,6,4,0,12,0,11,236,35
S00088993,16,15,9,0,4,0,16,0,0,60,3
S00088994,6,7,3,0,2,0,0,0,0,33,6
S00088995,5,7,1,2,2,0,4,0,1,36,4
S00088996,22,8,8,0,1,0,6,0,0,54,3
S00088997,34,13,11,0,1,1,0,0,0,71,21
S00088998,20,31,8,1,0,0,6,0,0,53,7
S00088999,40,13,8,0,2,0,3,0,0,39,18
S00089000,24,11,5,2,2,0,0,0,0,71,5
S00089001,39,13,5,1,0,2,0,0,0,51,4
S00089002,25,21,15,3,1,1,4,0,0,57,8
S00089003,19,6,4,1,0,0,5,2,0,58,23
S00089004,21,19,13,0,1,0,0,0,0,40,3
S00089005,30,9,6,0,0,0,0,0,2,80,6
S00089006,21,8,9,0,0,0,5,0,0,51,10
S00089007,24,15,13,1,0,0,1,0,0,64,4
S00089008,16,3,0,0,3,0,0,0,1,48,2
S00089009,14,8,16,0,0,0,0,0,1,62,5
S00089010,16,18,5,0,0,0,0,0,0,76,14
